date,transaction_type,investor_type,value
2009-06-03,net,Foreign Companies,78265297.0
2009-07-03,net,Foreign Companies,441012951.0
2009-08-03,net,Foreign Companies,-70852458.0
2009-09-03,net,Foreign Companies,1436228595.0
2009-10-03,net,Foreign Companies,1718436734.0
2009-11-03,net,Foreign Companies,-2233932956.0
2009-12-03,net,Foreign Companies,927224215.0
2010-01-03,net,Foreign Companies,1248153179.25
2010-02-03,net,Foreign Companies,-1167148234.5
2010-03-03,net,Foreign Companies,-5611921778.15
2010-04-03,net,Foreign Companies,-3387939270.0
2010-05-03,net,Foreign Companies,-712654152.0
2010-06-03,net,Foreign Companies,-4866852453.0
2010-07-03,net,Foreign Companies,4186499204.0
2010-08-03,net,Foreign Companies,2084504873.0
2010-09-03,net,Foreign Companies,-2890843996.0
2010-10-03,net,Foreign Companies,-10809715787.0
2010-11-03,net,Foreign Companies,-347428390.0
2010-12-03,net,Foreign Companies,-231466734.5
2011-01-03,net,Foreign Companies,-2816419194.0
2011-02-03,net,Foreign Companies,-3456882510.0
2011-03-03,net,Foreign Companies,207049526.0
2011-04-03,net,Foreign Companies,-1322365202.0
2011-05-03,net,Foreign Companies,2448739445.0
2011-06-03,net,Foreign Companies,-903421602.0
2011-07-03,net,Foreign Companies,-719033241.0
2011-08-03,net,Foreign Companies,-1954027129.0
2011-09-03,net,Foreign Companies,-6044195296.0
2011-10-03,net,Foreign Companies,1227543313.0
2011-11-03,net,Foreign Companies,-394678276.0
2011-12-03,net,Foreign Companies,-1499501001.0
2012-01-03,net,Foreign Companies,322283642.0
2012-02-03,net,Foreign Companies,1885992127.0
2012-03-03,net,Foreign Companies,18045465268.0
2012-04-03,net,Foreign Companies,853524837.0
2012-05-03,net,Foreign Companies,1117720939.0
2012-06-03,net,Foreign Companies,635211457.0
2012-07-03,net,Foreign Companies,2456531441.0
2012-08-03,net,Foreign Companies,2801181709.0
2012-09-03,net,Foreign Companies,3330063745.0
2012-10-03,net,Foreign Companies,2405597773.0
2012-11-03,net,Foreign Companies,1378803885.0
2012-12-03,net,Foreign Companies,3203971477.0
2013-01-03,net,Foreign Companies,-1215724839.0
2013-02-03,net,Foreign Companies,1224053136.0
2013-03-03,net,Foreign Companies,5143092935.0
2013-04-03,net,Foreign Companies,3861514063.0
2013-05-03,net,Foreign Companies,4680282576.0
2013-06-03,net,Foreign Companies,1035730615.0
2013-07-03,net,Foreign Companies,815145927.0
2013-08-03,net,Foreign Companies,1962556396.0
2013-09-03,net,Foreign Companies,1339406978.0
